Fire_ID,DTS_dist_m,DTS_cells,DTS_cells_prp
MT4755711337219850629,0,13919,1
MT4755711337219850629,30,12070,0.8671599971262304
MT4755711337219850629,60,10365,0.7446655650549608
MT4755711337219850629,90,8525,0.6124721603563474
MT4755711337219850629,120,7160,0.5144047704576478
MT4755711337219850629,150,5621,0.40383648250592713
MT4755711337219850629,180,4635,0.3329980602054745
MT4755711337219850629,210,3853,0.27681586320856383
MT4755711337219850629,240,3151,0.22638120554637545
MT4755711337219850629,270,2589,0.18600474171995116
MT4755711337219850629,300,2090,0.15015446511962066
MT4755711337219850629,330,1736,0.12472160356347439
MT4755711337219850629,360,1432,0.10288095409152956
MT4755711337219850629,390,1120,0.08046555068611251
MT4755711337219850629,420,925,0.06645592355772685
MT4755711337219850629,450,773,0.055535598821754434
MT4755711337219850629,480,668,0.04799195344493139
MT4755711337219850629,510,550,0.039514332926215964
MT4755711337219850629,540,449,0.03225806451612903
MT4755711337219850629,570,356,0.025576550039514333
MT4755711337219850629,600,265,0.01903872404626769
MT4755711337219850629,630,206,0.01479991378690998
MT4755711337219850629,660,142,0.01020188231913212
MT4755711337219850629,690,95,0.006825202959982757
MT4755711337219850629,720,58,0.004166966017673683
MT4755711337219850629,750,21,0.0015087290753646096
MT4755711337219850629,780,6,4.3106545010417415e-4
ID4504211409719850629,0,12833,1
ID4504211409719850629,30,10992,0.8565417283565807
ID4504211409719850629,60,9274,0.7226681212499025
ID4504211409719850629,90,7338,0.5718070599236343
ID4504211409719850629,120,5885,0.4585833398270085
ID4504211409719850629,150,4261,0.3320345983012546
ID4504211409719850629,180,3209,0.25005844307644354
ID4504211409719850629,210,2364,0.18421257695005064
ID4504211409719850629,240,1560,0.12156159900257149
ID4504211409719850629,270,998,0.07776825372087587
ID4504211409719850629,300,575,0.044806358606717056
ID4504211409719850629,330,331,0.02579287773708408
ID4504211409719850629,360,191,0.014883503467622535
ID4504211409719850629,390,97,0.007558637886698356
ID4504211409719850629,420,62,0.00483129431933297
ID4504211409719850629,450,27,0.0021039507519675835
ID4504211409719850629,480,8,6.233928153978025e-4
ID4504211409719850629,510,0,0
ID4433111475519850630,0,5768,1
ID4433111475519850630,30,4739,0.8216019417475728
ID4433111475519850630,60,3841,0.6659153952843273
ID4433111475519850630,90,3016,0.5228848821081831
ID4433111475519850630,120,2445,0.4238904299583911
ID4433111475519850630,150,1853,0.32125520110957007
ID4433111475519850630,180,1476,0.25589459084604715
ID4433111475519850630,210,1147,0.19885575589459084
ID4433111475519850630,240,825,0.14303051317614424
ID4433111475519850630,270,557,0.09656726768377254
ID4433111475519850630,300,365,0.06328016643550624
ID4433111475519850630,330,245,0.04247572815533981
ID4433111475519850630,360,138,0.0239251040221914
ID4433111475519850630,390,57,0.009882108183079058
ID4433111475519850630,420,11,0.0019070735090152566
ID4433111475519850630,450,0,0
MT4572011389719850708,0,1926,1
MT4572011389719850708,30,1627,0.8447559709241952
MT4572011389719850708,60,1370,0.711318795430945
MT4572011389719850708,90,1063,0.5519210799584632
MT4572011389719850708,120,843,0.43769470404984423
MT4572011389719850708,150,577,0.2995846313603323
MT4572011389719850708,180,395,0.2050882658359294
MT4572011389719850708,210,251,0.13032191069574248
MT4572011389719850708,240,132,0.06853582554517133
MT4572011389719850708,270,50,0.02596053997923157
MT4572011389719850708,300,15,0.00778816199376947
MT4572011389719850708,330,7,0.0036344755970924196
MT4572011389719850708,360,3,0.001557632398753894
ID4622711494119850708,0,92,1
ID4622711494119850708,30,25,0.2717391304347826
ID4622711494119850708,60,2,0.021739130434782608
ID4512611554919850708,0,14142,1
ID4512611554919850708,30,11004,0.7781077641069156
ID4512611554919850708,60,8376,0.5922783198981757
ID4512611554919850708,90,6046,0.4275208598500919
ID4512611554919850708,120,4642,0.3282421156837788
ID4512611554919850708,150,3347,0.2366709093480413
ID4512611554919850708,180,2562,0.18116249469664827
ID4512611554919850708,210,1940,0.13718003111299676
ID4512611554919850708,240,1392,0.09843020789138736
ID4512611554919850708,270,963,0.06809503606279169
ID4512611554919850708,300,597,0.04221467967755622
ID4512611554919850708,330,365,0.025809645028991655
ID4512611554919850708,360,224,0.01583934379861406
ID4512611554919850708,390,107,0.007566115118087965
ID4512611554919850708,420,54,0.003818413237165889
ID4512611554919850708,450,17,0.0012020930561448169
ID4512611554919850708,480,3,2.1213406873143826e-4
MT4685211393819850712,0,1688,1
MT4685211393819850712,30,1213,0.7186018957345972
MT4685211393819850712,60,816,0.4834123222748815
MT4685211393819850712,90,474,0.28080568720379145
MT4685211393819850712,120,271,0.16054502369668247
MT4685211393819850712,150,109,0.06457345971563981
MT4685211393819850712,180,37,0.021919431279620854
MT4685211393819850712,210,13,0.007701421800947867
MT4685211393819850712,240,3,0.0017772511848341231
ID4543311548219850715,0,1544,1
ID4543311548219850715,30,1031,0.6677461139896373
ID4543311548219850715,60,632,0.40932642487046633
ID4543311548219850715,90,301,0.1949481865284974
ID4543311548219850715,120,125,0.08095854922279792
ID4543311548219850715,150,42,0.027202072538860103
ID4543311548219850715,180,11,0.007124352331606218
ID4543311548219850715,210,1,6.476683937823834e-4
ID4525211462119850715,0,6676,1
ID4525211462119850715,30,5222,0.7822049131216298
ID4525211462119850715,60,4013,0.6011084481725584
ID4525211462119850715,90,2925,0.4381366087477531
ID4525211462119850715,120,2211,0.33118633912522466
ID4525211462119850715,150,1542,0.23097663271420013
ID4525211462119850715,180,1132,0.1695626123427202
ID4525211462119850715,210,830,0.12432594367884961
ID4525211462119850715,240,550,0.08238466147393649
ID4525211462119850715,270,328,0.04913121629718394
ID4525211462119850715,300,153,0.02291791491911324
ID4525211462119850715,330,60,0.008987417615338526
ID4525211462119850715,360,13,0.0019472738166566807
ID4525211462119850715,390,0,0
ID4636311442319850717,0,1569,1
ID4636311442319850717,30,1010,0.6437221159974506
ID4636311442319850717,60,577,0.36775015933715743
ID4636311442319850717,90,247,0.1574251115360102
ID4636311442319850717,120,108,0.06883365200764818
ID4636311442319850717,150,41,0.026131293817718292
ID4636311442319850717,180,11,0.007010834926704908
ID4636311442319850717,210,1,6.373486297004461e-4
ID4540311601419850717,0,4545,1
ID4540311601419850717,30,2482,0.5460946094609461
ID4540311601419850717,60,1133,0.24928492849284928
ID4540311601419850717,90,349,0.07678767876787679
ID4540311601419850717,120,86,0.01892189218921892
ID4540311601419850717,150,7,0.0015401540154015402
ID4540311601419850717,180,0,0
CA4095612245219850718,0,4780,1
CA4095612245219850718,30,4352,0.9104602510460251
CA4095612245219850718,60,3945,0.8253138075313807
CA4095612245219850718,90,3506,0.7334728033472804
CA4095612245219850718,120,3189,0.6671548117154812
CA4095612245219850718,150,2853,0.5968619246861925
CA4095612245219850718,180,2611,0.546234309623431
CA4095612245219850718,210,2391,0.5002092050209205
CA4095612245219850718,240,2145,0.448744769874477
CA4095612245219850718,270,1921,0.40188284518828454
CA4095612245219850718,300,1708,0.3573221757322176
CA4095612245219850718,330,1541,0.3223849372384937
CA4095612245219850718,360,1383,0.2893305439330544
CA4095612245219850718,390,1189,0.248744769874477
CA4095612245219850718,420,1034,0.21631799163179916
CA4095612245219850718,450,877,0.18347280334728033
CA4095612245219850718,480,749,0.15669456066945606
CA4095612245219850718,510,613,0.1282426778242678
CA4095612245219850718,540,494,0.10334728033472804
CA4095612245219850718,570,379,0.07928870292887029
CA4095612245219850718,600,272,0.05690376569037657
CA4095612245219850718,630,197,0.041213389121338914
CA4095612245219850718,660,129,0.02698744769874477
CA4095612245219850718,690,79,0.016527196652719664
CA4095612245219850718,720,40,0.008368200836820083
CA4095612245219850718,750,12,0.002510460251046025
CA4095612245219850718,780,0,0
ID4537211447019850720,0,27609,1
ID4537211447019850720,30,22664,0.8208917382013111
ID4537211447019850720,60,18464,0.6687674309102104
ID4537211447019850720,90,14362,0.5201926907892354
ID4537211447019850720,120,11601,0.4201890687819189
ID4537211447019850720,150,8983,0.32536491723713284
ID4537211447019850720,180,7490,0.271288348002463
ID4537211447019850720,210,6341,0.22967148393639755
ID4537211447019850720,240,5342,0.1934876308450143
ID4537211447019850720,270,4531,0.16411315150856604
ID4537211447019850720,300,3782,0.13698431670831976
ID4537211447019850720,330,3283,0.1189105001992104
ID4537211447019850720,360,2872,0.10402405012858126
ID4537211447019850720,390,2437,0.08826831830200298
ID4537211447019850720,420,2103,0.07617081386504401
ID4537211447019850720,450,1800,0.06519613169618603
ID4537211447019850720,480,1584,0.0573725958926437
ID4537211447019850720,510,1380,0.04998370096707595
ID4537211447019850720,540,1201,0.043500307870621896
ID4537211447019850720,570,1041,0.03770509616429425
ID4537211447019850720,600,893,0.03234452533594118
ID4537211447019850720,630,766,0.02774457604404361
ID4537211447019850720,660,642,0.023253286971639683
ID4537211447019850720,690,548,0.019848600094172192
ID4537211447019850720,720,461,0.01669745372885653
ID4537211447019850720,750,369,0.013365206997718135
ID4537211447019850720,780,300,0.010866021949364337
ID4537211447019850720,810,228,0.008258176681516897
ID4537211447019850720,840,164,0.005940091998985838
ID4537211447019850720,870,105,0.0038031076822775184
ID4537211447019850720,900,62,0.0022456445362019632
ID4537211447019850720,930,31,0.0011228222681009816
ID4537211447019850720,960,10,3.6220073164547795e-4
ID4537211447019850720,990,1,3.6220073164547794e-5
ID4627011451019850721,0,3181,1
ID4627011451019850721,30,2147,0.6749449858535052
ID4627011451019850721,60,1349,0.42408047783715813
ID4627011451019850721,90,718,0.22571518390443257
ID4627011451019850721,120,405,0.1273184533165671
ID4627011451019850721,150,167,0.0524992140836215
ID4627011451019850721,180,76,0.02389185790631877
ID4627011451019850721,210,33,0.010374096196164728
ID4627011451019850721,240,11,0.0034580320653882428
ID4627011451019850721,270,4,0.0012574662055957245
CA4080812321419850726,0,3377,1
CA4080812321419850726,30,2412,0.7142434113118152
CA4080812321419850726,60,1614,0.47793899911163756
CA4080812321419850726,90,949,0.2810186556114895
CA4080812321419850726,120,609,0.18033757773171455
CA4080812321419850726,150,370,0.10956470239857861
CA4080812321419850726,180,247,0.07314184187148356
CA4080812321419850726,210,164,0.04856381403612674
CA4080812321419850726,240,99,0.029315960912052116
CA4080812321419850726,270,41,0.012140953509031684
CA4080812321419850726,300,9,0.0026650873556411016
CA4080812321419850726,330,1,2.961208172934557e-4
CA4112412279219850727,0,1849,1
CA4112412279219850727,30,1494,0.8080043266630611
CA4112412279219850727,60,1161,0.627906976744186
CA4112412279219850727,90,815,0.44077879935100056
CA4112412279219850727,120,555,0.3001622498647918
CA4112412279219850727,150,307,0.1660356949702542
CA4112412279219850727,180,183,0.0989724175229854
CA4112412279219850727,210,97,0.052460789616008655
CA4112412279219850727,240,49,0.02650081124932396
CA4112412279219850727,270,23,0.012439156300703082
CA4112412279219850727,300,5,0.0027041644131963224
WA4754112335819850824,0,1421,1
WA4754112335819850824,30,888,0.6249120337790288
WA4754112335819850824,60,496,0.34904996481351164
WA4754112335819850824,90,219,0.15411681914144967
WA4754112335819850824,120,104,0.07318789584799437
WA4754112335819850824,150,29,0.02040816326530612
WA4754112335819850824,180,5,0.003518648838845883
WA4754112335819850824,210,0,0
WA4882011967319850828,0,1,1
WA4882011967319850828,30,0,0
WA4845711860619850830,0,2752,1
WA4845711860619850830,30,2192,0.7965116279069767
WA4845711860619850830,60,1658,0.6024709302325582
WA4845711860619850830,90,1095,0.39789244186046513
WA4845711860619850830,120,728,0.26453488372093026
WA4845711860619850830,150,362,0.13154069767441862
WA4845711860619850830,180,172,0.0625
WA4845711860619850830,210,66,0.023982558139534885
WA4845711860619850830,240,13,0.004723837209302325
OR4438011849619860802,0,678,1
OR4438011849619860802,30,365,0.5383480825958702
OR4438011849619860802,60,162,0.23893805309734514
OR4438011849619860802,90,59,0.08702064896755163
OR4438011849619860802,120,18,0.02654867256637168
OR4438011849619860802,150,1,0.0014749262536873156
WA4870412050919860802,0,2837,1
WA4870412050919860802,30,2404,0.8473739866055693
WA4870412050919860802,60,2030,0.7155445893549525
WA4870412050919860802,90,1678,0.5914698625308424
WA4870412050919860802,120,1450,0.5111032781106803
WA4870412050919860802,150,1236,0.4356714839619316
WA4870412050919860802,180,1085,0.3824462460345435
WA4870412050919860802,210,940,0.3313359182234755
WA4870412050919860802,240,790,0.2784631653154741
WA4870412050919860802,270,648,0.2284102925625661
WA4870412050919860802,300,502,0.1769474797321114
WA4870412050919860802,330,376,0.1325343672893902
WA4870412050919860802,360,269,0.09481847021501587
WA4870412050919860802,390,180,0.06344730348960169
WA4870412050919860802,420,119,0.04194571730701445
WA4870412050919860802,450,74,0.02608389143461403
WA4870412050919860802,480,45,0.015861825872400422
WA4870412050919860802,510,19,0.0066972153683468455
WA4870412050919860802,540,5,0.0017624250969333803
OR4454311774919860802,0,2040,1
OR4454311774919860802,30,1454,0.7127450980392157
OR4454311774919860802,60,967,0.47401960784313724
OR4454311774919860802,90,532,0.2607843137254902
OR4454311774919860802,120,293,0.14362745098039215
OR4454311774919860802,150,123,0.060294117647058824
OR4454311774919860802,180,56,0.027450980392156862
OR4454311774919860802,210,26,0.012745098039215686
OR4454311774919860802,240,11,0.005392156862745098
OR4454311774919860802,270,3,0.0014705882352941176
OR4465011815119860802,0,8531,1
OR4465011815119860802,30,6737,0.789708123314969
OR4465011815119860802,60,5102,0.5980541554331262
OR4465011815119860802,90,3482,0.4081584808346032
OR4465011815119860802,120,2509,0.2941038565232681
OR4465011815119860802,150,1741,0.2040792404173016
OR4465011815119860802,180,1301,0.15250263743992498
OR4465011815119860802,210,1015,0.11897784550463017
OR4465011815119860802,240,766,0.08979017700152385
OR4465011815119860802,270,568,0.06658070566170438
OR4465011815119860802,300,396,0.04641894267963896
OR4465011815119860802,330,284,0.03329035283085219
OR4465011815119860802,360,200,0.023443910444262105
OR4465011815119860802,390,114,0.013363028953229399
OR4465011815119860802,420,59,0.00691595358105732
OR4465011815119860802,450,22,0.002578830148868831
OR4465011815119860802,480,4,4.6887820888524205e-4
OR4457711806919860802,0,6263,1
OR4457711806919860802,30,4958,0.7916334025227527
OR4457711806919860802,60,3758,0.6000319335781574
OR4457711806919860802,90,2552,0.40747245728883924
OR4457711806919860802,120,1762,0.2813348235669807
OR4457711806919860802,150,1121,0.1789877055724094
OR4457711806919860802,180,769,0.12278460801532812
OR4457711806919860802,210,514,0.08206929586460163
